"org_ID";"org";"org_type";"founded";"ended";"end_type"
1;"Station WRAI";"";"";"";""
2;"Oxford Union";"";"";"";""
3;"University of Denver";"";"";"";""
4;"Hofstra University";"";"";"";""
5;"Lynn University";"";"";"";""
6;"Station WINS";"";"";"";""
7;"SC Legislature";"";"";"";""
8;"Black Hat Briefings";"";"";"";""
9;"National Association for the Advancement of C";"";"";"";""
10;"New York Anti-Slavery Society";"";"";"";""
11;"Association for the Study of Negro Life and H";"";"";"";""
12;"American Colonization Society";"";"";"";""
13;"National Woman's Party";"";"";"";""
14;"Alpha Phi Alpha";"";"";"";""
15;"Lincoln University";"";"";"";""
16;"American Anti-Slavery Society";"";"";"";""
17;"Brown University";"";"";"";""
18;"Virginia Voters League";"";"";"";""
19;"NAACP";"";"";"";""
20;"CORE";"";"";"";""
21;"Southern Christian Leadership Conference";"";"";"";""
22;"National Negro Congress";"";"";"";""
23;"Fellowship of the Concerned";"";"";"";""
24;"Stuyvesant Institute";"";"";"";""
25;"Pennsylvania Society for Promoting the Abolit";"";"";"";""
26;"Boston Suffrage League";"";"";"";""
27;"Bowdoin College";"";"";"";""
28;"Tuskegee University";"";"";"";""
29;"Tuskegee Institute";"";"";"";""
30;"Harvard University";"";"";"";""
31;"Paine College";"";"";"";""
32;"University of Utah";"";"";"";""
33;"State University of Iowa";"";"";"";""
34;"Howard University";"";"";"";""
35;"Stanford University";"";"";"";""
36;"New York Council of the Arts, Sciences and Pr";"";"";"";""
37;"Harvard School of Business Administration";"";"";"";""
38;"Disciples of Christ";"";"";"";""
39;"Middle States Association of Colleges and Sec";"";"";"";""
40;"Negro Congress";"";"";"";""
41;"Dillard University";"";"";"";""
42;"American Equal Rights Association";"";"";"";""
43;"Montgomery Improvement Association";"";"";"";""
44;"Student Nonviolent Coordinating Committee";"";"";"";""
45;"National American Woman Suffrage Association";"";"";"";""
46;"National Negro Labor Council";"";"";"";""
47;"Southern Sociological Congress";"";"";"";""
48;"National Afro-American League";"";"";"";""
49;"National FFA Organization";"";"";"";""
50;"Georgia Undocumented Youth Alliance";"";"";"";""
51;"Catholic Interracial Council of New York";"";"";"";""
52;"Kansas State University";"";"";"";""
53;"Lexington Democratic Club";"";"";"";""
54;"Los Angeles Branch of the NAACP";"";"";"";""
55;"Mattachine Society";"";"";"";""
56;"National Association of Broadcasters";"";"";"";""
57;"Negro Commission of the Communist Party";"";"";"";""
58;"Million Dollar Round Table";"";"";"";""
59;"Office of Community Oriented Policing Service";"";"";"";""
60;"Urban League";"";"";"";""
61;"Women's National Loyal League";"";"";"";""
62;"National Association for the Advacement of Co";"";"";"";""
63;"African Methodist Episcopal Church";"";"";"";""
64;"New York State Anti-Slavery Society";"";"";"";""
65;"National Organization for Women (NOW)";"";"";"";""
66;"Douglass Institute";"";"";"";""
67;"National Jewish Community Relations Advisory ";"";"";"";""
68;"March on Washington Movement";"";"";"";""
69;"Radio-Television News Directors Association";"";"";"";""
70;"National Negro Business League";"";"";"";""
71;"United Order of Odd Fellows of America";"";"";"";""
72;"Southern Newspaper Publishers' Association";"";"";"";""
73;"Southern Negro Youth Congress";"";"";"";""
74;"Assocation of Citizens' Councils of Mississip";"";"";"";""
75;"National Catholic Conference for Interracial ";"";"";"";""
76;"U.S. House of Representatives";"";"";"";""
77;"Women's Christian Temperance Union";"";"";"";""
78;"National Labor Union";"";"";"";""
79;"The Association of Artists for Freedom";"";"";"";""
80;"U.S. Senate";"";"";"";""
81;"United Nations";"";"";"";""
82;"University of California, Berkeley";"";"";"";""
83;"Scientific Research Society of America";"";"";"";""
84;"Wilmingston District Epworth League";"";"";"";""
85;"English Army";"";"";"";""
86;"Court at Newtown";"";"";"";""
87;"English Parliament";"";"";"";""
88;"Second Virginia Convention";"";"";"";""
89;"Continental Army";"";"";"";""
90;"Constitutional Convention";"";"";"";""
91;"unknown";"";"";"";""
92;"African Lodge at Menotomy, MA";"";"";"";""
93;"New York African Society for Mutual Relief";"";"";"";""
94;"Osages Tribe";"";"";"";""
95;"Old Guard";"";"";"";""
96;"African Baptist Society";"";"";"";""
97;"St. Philip's Episcopal Church";"";"";"";""
98;"African Masonic Hall";"";"";"";""
99;"MA House of Representatives";"";"";"";""
100;"Massachusetts Legislature";"";"";"";""
101;"Anti-Slavery Convention of American Women";"";"";"";""
102;"Massachusetts Antislavery Society";"";"";"";""
103;"U.S. Supreme Court";"";"";"";""
104;"British and Foreign Antislavery Society";"";"";"";""
105;"Hibernian Antislavery Society";"";"";"";""
106;"Legislative Committee";"";"";"";""
107;"Kansas State Legislature";"";"";"";""
108;"Female Anti-Slavery Society of Salem, MA";"";"";"";""
109;"Negro Labor Committee";"";"";"";""
110;"Military Committee";"";"";"";""
111;"American Antislavery Society";"";"";"";""
112;"NY Legislature";"";"";"";""
113;"Western Reserve College";"";"";"";""
114;"CA State Legislature";"";"";"";""
115;"Southac Street Church";"";"";"";""
116;"US District Court for Northern District of Oh";"";"";"";""
117;"Court";"";"";"";""
118;"Cooper Union";"";"";"";""
119;"Massachussets Anti-Slavery Society";"";"";"";""
120;"Massachussetts Anti-Slavery Society";"";"";"";""
121;"Statistical Association of the Colored People";"";"";"";""
122;"Colored Presbyterian Church of Philadelphia";"";"";"";""
123;"Avery College";"";"";"";""
124;"Women's Loyal League (of Cooper Union)";"";"";"";""
125;"Republican Leaders (MA)";"";"";"";""
126;"Army of Northern Virginia";"";"";"";""
127;"Young Men's Literary and Debating Society of ";"";"";"";""
128;"Prince Hall Grand Lodge of Free and Accepted ";"";"";"";""
129;"U.S. State Legislature";"";"";"";""
130;"Oberlin College";"";"";"";""
131;"Banneker Literary Club";"";"";"";""
132;"American Social Science Association";"";"";"";""
133;"TN State Legislature";"";"";"";""
134;"Freedman's Aid Society";"";"";"";""
135;"Brooklyn Literary Union";"";"";"";""
136;"New England Society of New York";"";"";"";""
137;"Confederate Survivors' Association";"";"";"";""
138;"National League of Boston";"";"";"";""
139;"International Council of Women";"";"";"";""
140;"Educational League of Gergia";"";"";"";""
